"http://movieon21.xyz/","403","['103.224.182.238']","12","['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '137.111.189.12'; '138.44.5.105'; '113.197.15.5'; '113.197.15.153'; '202.158.194.173'; '64.124.200.233'; '128.177.170.94'; '103.224.213.253'; '103.224.182.238']"
"http://m6.modufree.net","200","['103.224.212.219']","9","['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '113.197.15.153'; '202.158.194.173'; '64.124.200.233'; '128.177.170.94'; '103.224.213.253'; '103.224.212.219']"
"https://j20.hitjjal.com/","HTTPSConnectionPool(host='j20.hitjjal.com'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013D28826E08>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))","[Errno 11001] getaddrinfo failed","1","['[Errno 11001] getaddrinfo failed']"
"https://phim33.com/","200","['104.21.41.89'; '172.67.163.71']","6","['10.126.192.3'; '10.10.254.61'; '10.127.1.4'; '202.158.194.177'; '198.32.176.171'; '104.21.41.89']"
"https://www.tfp.is/","200","['104.21.67.129'; '172.67.223.22']","7","['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.143'; '202.158.194.177'; '198.32.176.171'; '172.67.223.22']"
"http://www.tvsubtitles.net/","HTTPSConnectionPool(host='www.tvsubtitles.net'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013D28754208>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))","['91.207.60.149']","23","['10.127.1.4'; '10.126.192.3'; '137.111.189.12'; '10.10.254.61'; '202.158.194.121'; '198.104.202.61'; '154.54.11.9'; '154.54.2.198'; '154.54.41.146'; '154.54.5.90'; '154.54.42.166'; '154.54.6.222'; '154.54.31.226'; '154.54.41.206'; '154.54.44.161'; '154.54.77.245'; '154.54.36.54'; '130.117.0.122'; '154.54.58.6'; '154.54.59.85'; '154.54.58.246'; '154.54.61.6'; '149.6.76.114']"
"http://www.msubs.net","HTTPSConnectionPool(host='www.msubs.net'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'www.msubs.net' doesn't match either of 'tv-subs.net'; 'tvsubs.net'; 'tvsubs.ru'; 'www.tv-subs.net'; 'www.tvsubs.net'; 'www.tvsubs.ru'"")))","['91.234.33.166']","13","['10.127.1.4'; '137.111.189.12'; '10.126.192.2'; '10.10.254.61'; '202.158.194.177'; '198.32.176.70'; '195.22.214.165'; '89.221.34.13'; '109.207.200.100'; '213.133.168.133'; '91.234.33.166'; '213.133.161.58'; '91.234.33.166']"
"https://dytt8.net/","200","['154.196.163.185']","11","['10.126.192.3'; '10.10.254.61'; '10.127.1.7'; '137.111.189.12'; '138.44.5.105'; '113.197.15.143'; '202.158.194.121'; '206.81.80.13'; '63.223.60.14'; '63.219.22.26'; '154.196.163.185']"
"https://www.ttdytt.cc/","HTTPSConnectionPool(host='www.ttdytt.cc'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013D2887AA88>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))","['103.75.44.51']","14","['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '137.111.189.12'; '138.44.5.105'; '113.197.15.5'; '113.197.15.101'; '45.127.173.24'; '184.104.194.146'; '103.136.102.28'; '184.104.194.137'; '184.105.222.101'; '65.49.108.158'; '100.100.101.2']"
"https://www.ttdytt.net/","HTTPSConnectionPool(host='www.ttdytt.net'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)')))","['45.117.192.234']","14","['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '137.111.189.12'; '138.44.5.105'; '113.197.15.5'; '113.197.15.101'; '45.127.173.24'; '184.104.194.146'; '103.136.102.28'; '184.104.194.137'; '184.105.222.101'; '65.49.108.158'; '45.117.192.234']"
"http://fast-torrent.ru/","HTTPSConnectionPool(host='fast-torrent.ru'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['5.45.71.49']","16","['10.127.1.5'; '113.197.15.143'; '10.10.254.61'; '10.126.192.3'; '202.158.194.121'; '64.125.193.129'; '64.125.29.0'; '64.125.29.27'; '64.125.29.119'; '64.125.30.3'; '79.141.46.100'; '185.8.179.39'; '37.252.14.10'; '5.45.71.49'; '185.8.177.33'; '5.45.71.49']"
"http://www.heroturko.net/","200","['172.67.170.19'; '104.21.39.80']","7","['10.127.1.7'; '138.44.5.105'; '10.10.254.61'; '10.126.192.2'; '202.158.194.177'; '198.32.176.171'; '104.21.39.80']"
"https://www.imovies.cc","200","['104.26.8.50'; '172.67.74.207'; '104.26.9.50']","7","['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '113.197.15.143'; '202.158.194.177'; '198.32.176.171'; '172.67.74.207']"
"https://www.imovies.ge","200","['188.93.94.166']","6","['10.126.192.2'; '10.127.1.7'; '10.10.254.61'; '202.158.194.177'; '198.32.176.171'; '104.21.12.206']"
"https://getpopcorntime.is/","200","['192.3.255.141'; '185.198.57.17'; '185.186.246.73']","3","['10.126.192.3'; '10.10.254.61'; '10.127.1.5']"
"http://toxicwap.com","200","['104.26.8.205'; '172.67.75.164'; '104.26.9.205']","5","['10.126.192.3'; '10.10.254.61'; '10.127.1.7'; '198.32.176.171'; '104.26.8.205']"
"https://english-films.com/","200","['5.45.86.226']","14","['10.127.1.7'; '138.44.5.105'; '10.10.254.61'; '10.126.192.2'; '202.158.194.121'; '64.125.193.129'; '64.125.29.208'; '64.125.29.0'; '64.125.30.3'; '79.141.46.98'; '5.45.86.226'; '185.8.177.33'; '185.8.179.39'; '5.45.86.226']"
